userId	geneSymbol	geneName	entrezgene	gLink
Crisp1	Crisp1	cysteine-rich secretory protein 1	11571	https://www.ncbi.nlm.nih.gov/gene/?term=11571
Slc4a1	Slc4a1	solute carrier family 4 (anion exchanger), member 1	20533	https://www.ncbi.nlm.nih.gov/gene/?term=20533
Crym	Crym	crystallin, mu	12971	https://www.ncbi.nlm.nih.gov/gene/?term=12971
Otub2	Otub2	OTU domain, ubiquitin aldehyde binding 2	68149	https://www.ncbi.nlm.nih.gov/gene/?term=68149
Sptssb	Sptssb	serine palmitoyltransferase, small subunit B	66183	https://www.ncbi.nlm.nih.gov/gene/?term=66183
Ctse	Ctse	cathepsin E	13034	https://www.ncbi.nlm.nih.gov/gene/?term=13034
Tmprss2	Tmprss2	transmembrane protease, serine 2	50528	https://www.ncbi.nlm.nih.gov/gene/?term=50528
Padi1	Padi1	peptidyl arginine deiminase, type I	18599	https://www.ncbi.nlm.nih.gov/gene/?term=18599
Elf5	Elf5	E74-like factor 5	13711	https://www.ncbi.nlm.nih.gov/gene/?term=13711
Defb4	Defb4	defensin beta 4	56519	https://www.ncbi.nlm.nih.gov/gene/?term=56519
Krt72	Krt72	keratin 72	105866	https://www.ncbi.nlm.nih.gov/gene/?term=105866
Krtap5-2	Krtap5-2	keratin associated protein 5-2	71623	https://www.ncbi.nlm.nih.gov/gene/?term=71623
Gprc5d	Gprc5d	G protein-coupled receptor, family C, group 5, member D	93746	https://www.ncbi.nlm.nih.gov/gene/?term=93746
Kcne1	Kcne1	potassium voltage-gated channel, Isk-related subfamily, member 1	16509	https://www.ncbi.nlm.nih.gov/gene/?term=16509
Cryba4	Cryba4	crystallin, beta A4	12959	https://www.ncbi.nlm.nih.gov/gene/?term=12959
Dsc2	Dsc2	desmocollin 2	13506	https://www.ncbi.nlm.nih.gov/gene/?term=13506
Lrat	Lrat	lecithin-retinol acyltransferase (phosphatidylcholine-retinol-O-acyltransferase)	79235	https://www.ncbi.nlm.nih.gov/gene/?term=79235
2310057N15Rik	2310057N15Rik	RIKEN cDNA 2310057N15 gene	69696	https://www.ncbi.nlm.nih.gov/gene/?term=69696
A030005L19Rik	A030005L19Rik	RIKEN cDNA A030005L19 gene	77922	https://www.ncbi.nlm.nih.gov/gene/?term=77922
Krtap19-5	Krtap19-5	keratin associated protein 19-5	16704	https://www.ncbi.nlm.nih.gov/gene/?term=16704
Krtap21-1	Krtap21-1	keratin associated protein 21-1	170656	https://www.ncbi.nlm.nih.gov/gene/?term=170656
A030005K14Rik	A030005K14Rik	RIKEN cDNA A030005K14 gene	77921	https://www.ncbi.nlm.nih.gov/gene/?term=77921
Krtap28-13	Krtap28-13	keratin associated protein 28-13	71386	https://www.ncbi.nlm.nih.gov/gene/?term=71386
Nts	Nts	neurotensin	67405	https://www.ncbi.nlm.nih.gov/gene/?term=67405
Atoh7	Atoh7	atonal bHLH transcription factor 7	53404	https://www.ncbi.nlm.nih.gov/gene/?term=53404
Krtap5-4	Krtap5-4	keratin associated protein 5-4	50775	https://www.ncbi.nlm.nih.gov/gene/?term=50775
Krt8	Krt8	keratin 8	16691	https://www.ncbi.nlm.nih.gov/gene/?term=16691
Csdc2	Csdc2	cold shock domain containing C2, RNA binding	105859	https://www.ncbi.nlm.nih.gov/gene/?term=105859
Tm4sf4	Tm4sf4	transmembrane 4 superfamily member 4	229302	https://www.ncbi.nlm.nih.gov/gene/?term=229302
Alox8	Alox8	arachidonate 8-lipoxygenase	11688	https://www.ncbi.nlm.nih.gov/gene/?term=11688
Krtap16-1	Krtap16-1	keratin associated protein 16-1	100504183	https://www.ncbi.nlm.nih.gov/gene/?term=100504183
Capn8	Capn8	calpain 8	170725	https://www.ncbi.nlm.nih.gov/gene/?term=170725
Krtap19-4	Krtap19-4	keratin associated protein 19-4	170654	https://www.ncbi.nlm.nih.gov/gene/?term=170654
Krt82	Krt82	keratin 82	114566	https://www.ncbi.nlm.nih.gov/gene/?term=114566
Krtap19-1	Krtap19-1	keratin associated protein 19-1	170657	https://www.ncbi.nlm.nih.gov/gene/?term=170657
Krtap6-3	Krtap6-3	keratin associated protein 6-3	100040249	https://www.ncbi.nlm.nih.gov/gene/?term=100040249
Tchhl1	Tchhl1	trichohyalin-like 1	71325	https://www.ncbi.nlm.nih.gov/gene/?term=71325
Krtap26-1	Krtap26-1	keratin associated protein 26-1	69533	https://www.ncbi.nlm.nih.gov/gene/?term=69533
Krtap31-1	Krtap31-1	keratin associated protein 31-1	70831	https://www.ncbi.nlm.nih.gov/gene/?term=70831
Gm11567	Gm11567	predicted gene 11567	670533	https://www.ncbi.nlm.nih.gov/gene/?term=670533
Krtap3-2	Krtap3-2	keratin associated protein 3-2	66708	https://www.ncbi.nlm.nih.gov/gene/?term=66708
Krtap5-5	Krtap5-5	keratin associated protein 5-5	114666	https://www.ncbi.nlm.nih.gov/gene/?term=114666
Krtap10-4	Krtap10-4	keratin associated protein 10-4	100191037	https://www.ncbi.nlm.nih.gov/gene/?term=100191037
D730001G18Rik	D730001G18Rik	RIKEN cDNA D730001G18 gene	78725	https://www.ncbi.nlm.nih.gov/gene/?term=78725
2310061N02Rik	2310061N02Rik	RIKEN cDNA 2310061N02 gene	69661	https://www.ncbi.nlm.nih.gov/gene/?term=69661
4930560O18Rik	4930560O18Rik	RIKEN cDNA 4930560O18 gene	75838	https://www.ncbi.nlm.nih.gov/gene/?term=75838
Rnf182	Rnf182	ring finger protein 182	328234	https://www.ncbi.nlm.nih.gov/gene/?term=328234
AU018091	AU018091	expressed sequence AU018091	245128	https://www.ncbi.nlm.nih.gov/gene/?term=245128
Cntn2	Cntn2	contactin 2	21367	https://www.ncbi.nlm.nih.gov/gene/?term=21367
Kalrn	Kalrn	kalirin, RhoGEF kinase	545156	https://www.ncbi.nlm.nih.gov/gene/?term=545156
Slc5a5	Slc5a5	solute carrier family 5 (sodium iodide symporter), member 5	114479	https://www.ncbi.nlm.nih.gov/gene/?term=114479
Dclk3	Dclk3	doublecortin-like kinase 3	245038	https://www.ncbi.nlm.nih.gov/gene/?term=245038
Vsig8	Vsig8	V-set and immunoglobulin domain containing 8	240916	https://www.ncbi.nlm.nih.gov/gene/?term=240916
Tgm6	Tgm6	transglutaminase 6	241636	https://www.ncbi.nlm.nih.gov/gene/?term=241636
Lyg2	Lyg2	lysozyme G-like 2	332427	https://www.ncbi.nlm.nih.gov/gene/?term=332427
Gm7544	Gm7544	predicted gene 7544	665225	https://www.ncbi.nlm.nih.gov/gene/?term=665225
Fgf5	Fgf5	fibroblast growth factor 5	14176	https://www.ncbi.nlm.nih.gov/gene/?term=14176
Tbc1d30	Tbc1d30	TBC1 domain family, member 30	74694	https://www.ncbi.nlm.nih.gov/gene/?term=74694
Gja3	Gja3	gap junction protein, alpha 3	14611	https://www.ncbi.nlm.nih.gov/gene/?term=14611
Cyp11a1	Cyp11a1	cytochrome P450, family 11, subfamily a, polypeptide 1	13070	https://www.ncbi.nlm.nih.gov/gene/?term=13070
Abhd2	Abhd2	abhydrolase domain containing 2	54608	https://www.ncbi.nlm.nih.gov/gene/?term=54608
Idi2	Idi2	isopentenyl-diphosphate delta isomerase 2	320581	https://www.ncbi.nlm.nih.gov/gene/?term=320581
Mkrn2os	Mkrn2os	makorin, ring finger protein 2, opposite strand	70291	https://www.ncbi.nlm.nih.gov/gene/?term=70291
Adh6b	Adh6b	alcohol dehydrogenase 6B (class V)	100417514	https://www.ncbi.nlm.nih.gov/gene/?term=100417514
Adamts16	Adamts16	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 16	271127	https://www.ncbi.nlm.nih.gov/gene/?term=271127
Syt7	Syt7	synaptotagmin VII	54525	https://www.ncbi.nlm.nih.gov/gene/?term=54525
A030014E15Rik	A030014E15Rik	RIKEN cDNA A030014E15 gene	77917	https://www.ncbi.nlm.nih.gov/gene/?term=77917
Otop2	Otop2	otopetrin 2	237987	https://www.ncbi.nlm.nih.gov/gene/?term=237987
Nabp1	Nabp1	nucleic acid binding protein 1	109019	https://www.ncbi.nlm.nih.gov/gene/?term=109019
E130002L11Rik	E130002L11Rik	RIKEN cDNA E130002L11 gene	320125	https://www.ncbi.nlm.nih.gov/gene/?term=320125
Gm9789	Gm9789	predicted gene 9789	640627	https://www.ncbi.nlm.nih.gov/gene/?term=640627
Tm4sf1	Tm4sf1	transmembrane 4 superfamily member 1	17112	https://www.ncbi.nlm.nih.gov/gene/?term=17112
Krt18	Krt18	keratin 18	16668	https://www.ncbi.nlm.nih.gov/gene/?term=16668
Ggt1	Ggt1	gamma-glutamyltransferase 1	14598	https://www.ncbi.nlm.nih.gov/gene/?term=14598
Ahsp	Ahsp	alpha hemoglobin stabilizing protein	170812	https://www.ncbi.nlm.nih.gov/gene/?term=170812
Crisp3	Crisp3	cysteine-rich secretory protein 3	11572	https://www.ncbi.nlm.nih.gov/gene/?term=11572
Krtap6-2	Krtap6-2	keratin associated protein 6-2	16701	https://www.ncbi.nlm.nih.gov/gene/?term=16701
Capn12	Capn12	calpain 12	60594	https://www.ncbi.nlm.nih.gov/gene/?term=60594
2310034C09Rik	2310034C09Rik	RIKEN cDNA 2310034C09 gene	117172	https://www.ncbi.nlm.nih.gov/gene/?term=117172
Foxn1	Foxn1	forkhead box N1	15218	https://www.ncbi.nlm.nih.gov/gene/?term=15218
Krtap12-1	Krtap12-1	keratin associated protein 12-1	16694	https://www.ncbi.nlm.nih.gov/gene/?term=16694
Krtap5-1	Krtap5-1	keratin associated protein 5-1	50774	https://www.ncbi.nlm.nih.gov/gene/?term=50774
Ly6g6d	Ly6g6d	lymphocyte antigen 6 complex, locus G6D	114654	https://www.ncbi.nlm.nih.gov/gene/?term=114654
Chac1	Chac1	ChaC, cation transport regulator 1	69065	https://www.ncbi.nlm.nih.gov/gene/?term=69065
Krt84	Krt84	keratin 84	16680	https://www.ncbi.nlm.nih.gov/gene/?term=16680
Jmy	Jmy	junction-mediating and regulatory protein	57748	https://www.ncbi.nlm.nih.gov/gene/?term=57748
Lrrc15	Lrrc15	leucine rich repeat containing 15	74488	https://www.ncbi.nlm.nih.gov/gene/?term=74488
Spink12	Spink12	serine peptidase inhibitor, Kazal type 12	78242	https://www.ncbi.nlm.nih.gov/gene/?term=78242
Krtap17-1	Krtap17-1	keratin associated protein 17-1	77914	https://www.ncbi.nlm.nih.gov/gene/?term=77914
2310079G19Rik	2310079G19Rik	RIKEN cDNA 2310079G19 gene	69699	https://www.ncbi.nlm.nih.gov/gene/?term=69699
Ttr	Ttr	transthyretin	22139	https://www.ncbi.nlm.nih.gov/gene/?term=22139
Brd1	Brd1	bromodomain containing 1	223770	https://www.ncbi.nlm.nih.gov/gene/?term=223770
Lrrc75b	Lrrc75b	leucine rich repeat containing 75B	192734	https://www.ncbi.nlm.nih.gov/gene/?term=192734
Stox1	Stox1	storkhead box 1	216021	https://www.ncbi.nlm.nih.gov/gene/?term=216021
A030003K21Rik	A030003K21Rik	RIKEN cDNA A030003K21 gene	77913	https://www.ncbi.nlm.nih.gov/gene/?term=77913
